timeSinceStartMs,timeSinceLastInvocationMs,cpuUsage
1001,1001,0.9990009990009991
2001,1000,1
3001,1000,1
4001,1000,1
5001,1000,1
6001,1000,1
7012,1011,0.9891196834817014
8013,1001,0.9990009990009991
9013,1000,1
10013,1000,1
11013,1000,1
12013,1000,1
13013,1000,1
14013,1000,1
15013,1000,1
16013,1000,1
17013,1000,1
18014,1001,0.9990009990009991
19014,1000,1
20014,1000,1
21014,1000,1
22014,1000,1
23014,1000,1
24014,1000,1
25014,1000,1
26014,1000,1
27014,1000,1
28014,1000,1
29014,1000,1
30014,1000,1
31014,1000,1
32014,1000,1
33014,1000,1
34014,1000,1
35014,1000,1
36014,1000,1
37014,1000,1
38014,1000,1
39014,1000,1
40014,1000,1
41014,1000,1
42014,1000,1
43014,1000,1
44014,1000,1
45014,1000,1
46014,1000,1
47014,1000,1
48014,1000,1
49014,1000,1
50014,1000,1
51014,1000,1
52014,1000,1
53016,1002,0.998003992015968
54016,1000,1
55016,1000,1
56016,1000,1
57016,1000,1
58021,1005,0.9950248756218907
59021,1000,1
60021,1000,1
61021,1000,1
62021,1000,1
63021,1000,1
64021,1000,1
65021,1000,1
66021,1000,1
67021,1000,1
68021,1000,1
69021,1000,1
70021,1000,1
71021,1000,1
72021,1000,1
73021,1000,1
74021,1000,1
75021,1000,1
76021,1000,1
77021,1000,1
78021,1000,1
79021,1000,1
80021,1000,1
81021,1000,1
82021,1000,1
83021,1000,1
84021,1000,1
85021,1000,1
86021,1000,1
87021,1000,1
88021,1000,1
89021,1000,1
90021,1000,1
91021,1000,1
92021,1000,1
93021,1000,1
94021,1000,1
95021,1000,1
96021,1000,1
97021,1000,1
98021,1000,1
99021,1000,1
100021,1000,1
101021,1000,1
102021,1000,1
103021,1000,1
104021,1000,1
105021,1000,1
106021,1000,1
107021,1000,1
108021,1000,1
109021,1000,1
110021,1000,1
111021,1000,1
112021,1000,1
113021,1000,1
114021,1000,1
115021,1000,1
116021,1000,1
117021,1000,1
118021,1000,1
119021,1000,1
120021,1000,1
121021,1000,1
122021,1000,1
123026,1005,0.9950248756218907
124026,1000,1
125027,1001,0.9990009990009991
126027,1000,1
127027,1000,1
128027,1000,1
129027,1000,1
130028,1001,0.9990009990009991
131028,1000,1
132028,1000,1
133028,1000,1
134028,1000,1
135028,1000,1
136028,1000,1
137028,1000,1
138028,1000,1
139028,1000,1
140028,1000,1
141028,1000,1
142028,1000,1
143028,1000,1
144028,1000,1
145028,1000,1
146028,1000,1
147028,1000,1
148028,1000,1
149028,1000,1
150028,1000,1
151028,1000,1
152028,1000,1
153028,1000,1
154028,1000,1
155028,1000,1
156028,1000,1
157028,1000,1
158028,1000,1
159028,1000,1
160028,1000,1
161028,1000,1
162028,1000,1
163028,1000,1
164028,1000,1
165028,1000,1
166028,1000,1
167028,1000,1
168028,1000,1
169028,1000,1
170028,1000,1
171028,1000,1
172028,1000,1
173028,1000,1
174028,1000,1
175028,1000,1
176028,1000,1
177028,1000,1
178028,1000,1
179028,1000,1
180028,1000,1
181028,1000,1
182028,1000,1
183028,1000,1
184028,1000,1
185028,1000,1
186028,1000,1
187028,1000,1
188028,1000,1
189028,1000,1
190028,1000,1
191028,1000,1
192028,1000,1
193028,1000,1
194028,1000,1
195028,1000,1
196028,1000,1
197028,1000,1
198028,1000,1
199028,1000,1
200028,1000,1
201028,1000,1
202028,1000,1
203028,1000,1
204028,1000,1
205028,1000,1
206028,1000,1
207028,1000,1
208028,1000,1
209028,1000,1
210028,1000,1
211028,1000,1
212028,1000,1
213028,1000,1
214028,1000,1
215028,1000,1
216028,1000,1
217028,1000,1
218028,1000,1
219028,1000,1
220028,1000,1
221028,1000,1
222028,1000,1
223028,1000,1
224028,1000,1
225028,1000,1
226028,1000,1
227028,1000,1
228028,1000,1
229028,1000,1
230028,1000,1
231028,1000,1
232028,1000,1
233028,1000,1
234028,1000,1
235028,1000,1
236028,1000,1
237028,1000,1
238028,1000,1
239028,1000,1
240028,1000,1
241028,1000,1
242028,1000,1
243028,1000,1
244028,1000,1
245028,1000,1
246028,1000,1
247028,1000,1
248028,1000,1
249028,1000,1
250028,1000,1
251028,1000,1
252028,1000,1
253028,1000,1
254028,1000,1
255028,1000,1
256028,1000,1
257028,1000,1
258028,1000,1
259028,1000,1
260028,1000,1
261028,1000,1
262028,1000,1
263028,1000,1
264028,1000,1
265028,1000,1
266028,1000,1
267028,1000,1
268028,1000,1
269028,1000,1
270028,1000,1
271028,1000,1
272028,1000,1
273028,1000,1
274028,1000,1
275028,1000,1
276028,1000,1
277028,1000,1
278028,1000,1
279028,1000,1
280028,1000,1
281028,1000,1
282028,1000,1
283028,1000,1
284028,1000,1
285028,1000,1
286028,1000,1
287028,1000,1
288028,1000,1
289028,1000,1
290028,1000,1
291028,1000,1
292028,1000,1
293028,1000,1
294028,1000,1
295028,1000,1
296028,1000,1
297028,1000,1
298028,1000,1
299028,1000,1
300028,1000,1
301030,1002,0.998003992015968
