timeSinceStartMs,timeSinceLastInvocationMs,cpuUsage
2000,2000,0.5
4000,2000,0.5
6000,2000,0.5
8009,2009,0.4977600796416128
10011,2002,0.4995004995004996
12014,2003,0.4992511233150274
14020,2006,0.49850448654037893
16029,2009,0.4977600796416128
18035,2006,0.49850448654037893
20045,2010,0.49751243781094534
22054,2009,0.4977600796416128
24054,2000,0.5
26059,2005,0.49875311720698257
28061,2002,0.4995004995004996
30072,2011,0.49726504226752855
47078,17006,0.05880277549100318
64097,17019,0.058757858863623016
81106,17009,0.058792404021400436
98117,17011,0.058785491740638414
115128,17011,0.058785491740638414
132136,17008,0.0587958607714017
149140,17004,0.05880969183721477
166151,17011,0.058785491740638414
183166,17015,0.05877167205406993
200170,17004,0.05880969183721477
217181,17011,0.058785491740638414
234201,17020,0.05875440658049354
251209,17008,0.0587958607714017
268217,17008,0.0587958607714017
285222,17005,0.05880623346074684
300239,15017,0.0665911966438037
