timeSinceStartMs,timeSinceLastInvocationMs,cpuUsage
70.99999999999955,50.999999999999545,0.9803921568627538
121,50.000000000000455,0.9999999999999909
171.99999999999955,50.999999999999545,0.9803921568627538
221.99999999999955,50,1
720.9999999999995,499,0.1002004008016032
1720.9999999999995,1000,0.05
1889.9999999999995,169,0.2958579881656805
2889.9999999999995,1000,0.05
4105,1215,0.0411522633744856
7454,3349,0.01492982979994028
11462,4008,0.0124750499001996
16538,5076,0.009850275807722617
20578,4040,0.012376237623762377
36617,16039,0.0031174013342477715
43832,7215,0.00693000693000693
75912,32080,0.0015586034912718203
118223,42311,0.0011817257923471436
182384,64161,0.0007792895996010037
259643.00000000003,77259.00000000003,0.0006471737920501169
282242,22598.99999999997,0.0022124872781981533
